start_date,end_date,current_flag,dataset_row_id,creation_date,status,completion_date,service_request_number,type_of_service_request,number_of_premises_baited,number_of_premises_with_garbage,number_of_premises_with_rats,current_activity,most_recent_action,street_address,zip_code,x_coordinate,y_coordinate,ward,police_district,community_area,latitude,longitude,location
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,123386,2014-07-14,Open - Dup,,14-01114558,Rodent Baiting/Rat Complaint,,,,,,5512 S EVERETT AVE,60637,1188981.49072111,1868791.56559407,5,2,41,41.7950247259883,-87.5825326114763,"(41.79502472598833, -87.58253261147632)"
2014-08-13 21:52:54.758983,,True,122821,2014-03-24,Completed,2014-04-01,14-00419217,Rodent Baiting/Rat Complaint,0,10,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",831 W 50TH PL,60609,1171617.97432014,1871364.86043363,3,9,61,41.8024846191238,-87.6461288368177,"(41.80248461912378, -87.6461288368177)"
2014-08-13 21:52:54.758983,,True,122827,2014-05-22,Completed,2014-06-03,14-00764319,Rodent Baiting/Rat Complaint,2,8,2.0,Dispatch Crew,Inspected and baited,6612 S ABERDEEN ST,60621,1170120.22160733,1860960.60399978,17,7,68,41.7739668684107,-87.651924140443,"(41.77396686841073, -87.651924140443)"
2014-08-13 21:52:54.758983,,True,123610,2014-07-17,Completed,2014-08-04,14-01139865,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",1448 E 53RD ST,60615,1186881.64093347,1870415.24026706,4,2,41,41.7995302774804,-87.5901811759996,"(41.79953027748037, -87.59018117599959)"
2014-08-23 13:02:03.218321,,True,129408,2014-08-22,Open,,14-01396812,Rodent Baiting/Rat Complaint,,,,,,6641 S MAY ST,60621,1169794.44147399,1860757.4645743,17,7,68,41.7734165059054,-87.6531242747275,"(41.77341650590544, -87.65312427472753)"
2014-08-23 13:02:03.218321,,True,129443,2014-08-22,Open,,14-01393734,Rodent Baiting/Rat Complaint,,,,,,6639 S ABERDEEN ST,60621,1170125.32160733,1860779.90399978,17,7,68,41.7734708946134,-87.6519106934255,"(41.77347089461343, -87.65191069342555)"
2014-08-23 13:02:03.218321,,True,129448,2014-08-22,Open,,14-01395459,Rodent Baiting/Rat Complaint,,,,,,6832 S CRANDON AVE,60649,1192500.95796601,1860106.5465293,5,3,43,41.7711073680089,-87.5699097165391,"(41.77110736800887, -87.56990971653907)"
2014-08-22 13:00:53.525749,2014-08-23 00:00:00,False,129262,2014-08-20,Open,,14-01378195,Rodent Baiting/Rat Complaint,,,,,,524 W 46TH ST,60609,1173569.87619828,1874416.37359774,11,9,61,41.8108152268019,-87.6388799767593,"(41.81081522680195, -87.6388799767593)"
2014-08-13 21:52:54.758983,,True,124107,2014-06-09,Completed,2014-06-18,14-00873312,Rodent Baiting/Rat Complaint,3,4,3.0,Dispatch Crew,Inspected and baited,798 E 51ST ST,60615,1182443.55712683,1871368.68266898,4,2,38,41.8022507395326,-87.6064270154453,"(41.80225073953258, -87.60642701544528)"
2014-08-13 21:52:54.758983,,True,92,2014-06-30,Completed,2014-07-31,14-01014899,Rodent Baiting/Rat Complaint,2,6,2.0,Dispatch Crew,Inspected and baited,4500 S UNION AVE,60609,1172383.12296769,1875043.81786861,11,9,61,41.8125632293204,-87.643214376584,"(41.812563229320375, -87.64321437658396)"
2014-08-13 21:52:54.758983,,True,280,2014-05-21,Completed,2014-06-04,14-00751638,Rodent Baiting/Rat Complaint,0,6,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",6514 S ELLIS AVE,60637,1184009.24001732,1862024.51220416,20,3,42,41.7765730672562,-87.6009769867451,"(41.776573067256194, -87.60097698674508)"
2014-08-13 21:52:54.758983,,True,354,2014-06-12,Completed,2014-06-24,14-00894817,Rodent Baiting/Rat Complaint,0,0,1.0,Dispatch Crew,Inspected and baited,6444 S INGLESIDE AVE,60637,1183833.11332029,1862460.46730184,20,3,42,41.7777734818188,-87.6016090520306,"(41.777773481818805, -87.60160905203064)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,432,2014-08-06,Open,,14-01286495,Rodent Baiting/Rat Complaint,,,,,,4540 S PRAIRIE AVE,60653,1178801.9024976,1874975.58630743,3,2,38,41.8122321337626,-87.6196725120257,"(41.81223213376264, -87.61967251202569)"
2014-08-13 21:52:54.758983,,True,483,2014-03-14,Completed,2014-03-20,14-00368703,Rodent Baiting/Rat Complaint,0,4,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",6517 S WOODLAWN AVE,60637,1185336.60073304,1862034.02470045,20,3,42,41.776568047925,-87.5961107114801,"(41.77656804792497, -87.59611071148005)"
2014-08-13 21:52:54.758983,,True,581,2014-07-02,Completed,2014-08-11,14-01035700,Rodent Baiting/Rat Complaint,0,1,0.0,Dispatch Crew,Inspected and baited,6012 S PRINCETON AVE,60621,1175319.05789415,1865045.64477406,20,7,68,41.7850620473823,-87.6327443068261,"(41.785062047382254, -87.6327443068261)"
2014-08-13 21:52:54.758983,,True,753,2014-04-14,Completed,2014-04-25,14-00539984,Rodent Baiting/Rat Complaint,0,1,0.0,Dispatch Crew,"No contact, left door hanger",5600 S LA SALLE ST,60621,1176246.52937231,1867825.08392709,3,2,68,41.7926683239391,-87.6292603598574,"(41.79266832393913, -87.62926035985741)"
2014-08-13 21:52:54.758983,,True,862,2014-07-17,Completed,2014-07-22,14-01140711,Rodent Baiting/Rat Complaint,2,8,5.0,Dispatch Crew,Inspected and baited,5025 S MAY ST,60609,1169503.5399672,1871473.30192869,16,9,61,41.8028283224798,-87.653880218389,"(41.80282832247984, -87.65388021838899)"
2014-08-13 21:52:54.758983,,True,1026,2014-06-17,Completed,2014-07-03,14-00926987,Rodent Baiting/Rat Complaint,1,0,1.0,Dispatch Crew,Inspected and baited,1351 E PARK PL,60637,1186106.9353986,1868560.67839468,5,2,41,41.7944595626775,-87.5930807489809,"(41.79445956267745, -87.59308074898092)"
2014-08-13 21:52:54.758983,,True,1175,2014-06-29,Completed,2014-07-29,14-01006704,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,No contact/gate locked; left door hanger.,4722 S WOODLAWN AVE,60615,1185041.45262193,1873856.19010549,4,2,39,41.8090159608684,-87.596821400448,"(41.80901596086843, -87.59682140044804)"
2014-08-13 21:52:54.758983,,True,1520,2014-03-18,Completed,2014-03-24,14-00387458,Rodent Baiting/Rat Complaint,0,5,2.0,Dispatch Crew,"Area inspected, no cause and no baiting",4631 S INDIANA AVE,60653,1178378.17201142,1874361.65761051,3,2,38,41.8105571060207,-87.6212453955654,"(41.8105571060207, -87.62124539556542)"
2014-08-13 21:52:54.758983,,True,1886,2014-07-21,Completed,2014-08-06,14-01166760,Rodent Baiting/Rat Complaint,1,1,1.0,Dispatch Crew,Inspected and baited,6135 S EVANS AVE,60637,1182276.72012708,1864493.56527323,20,3,42,41.7833886907418,-87.6072518213336,"(41.78338869074184, -87.60725182133365)"
2014-08-13 21:52:54.758983,,True,2159,2014-06-26,Completed - Dup,2014-07-03,14-00988973,Rodent Baiting/Rat Complaint,,,,,,5422 S KIMBARK AVE,60615,1185580.87797974,1869612.3575675,4,2,41,41.7973578664363,-87.5949766357552,"(41.79735786643627, -87.59497663575523)"
2014-08-13 21:52:54.758983,,True,2231,2014-07-16,Completed,2014-08-08,14-01132571,Rodent Baiting/Rat Complaint,0,6,0.0,Dispatch Crew,Inspected and baited,635 W 54TH PL,60609,1172970.97818862,1868752.9419938,3,9,61,41.7952874514899,-87.6412439331534,"(41.79528745148988, -87.64124393315342)"
2014-08-13 21:52:54.758983,,True,2723,2014-04-14,Completed,2014-04-25,14-00539879,Rodent Baiting/Rat Complaint,2,8,2.0,Dispatch Crew,Inspected and baited,5365 S SHIELDS AVE,60609,1174865.44362661,1869357.26473283,3,9,37,41.7969037110625,-87.6342789058826,"(41.79690371106248, -87.63427890588261)"
2014-08-13 21:52:54.758983,,True,2880,2014-06-23,Completed,2014-06-27,14-00964228,Rodent Baiting/Rat Complaint,1,0,3.0,Dispatch Crew,Inspected and baited,5517 S HYDE PARK BLVD,60637,1188597.03401454,1868749.04559473,5,2,41,41.7949172534383,-87.5839437515861,"(41.79491725343828, -87.58394375158612)"
2014-08-13 21:52:54.758983,,True,3359,2014-07-01,Completed,2014-07-03,14-01019092,Rodent Baiting/Rat Complaint,2,1,2.0,Dispatch Crew,Inspected and baited,4847 S LANGLEY AVE,60615,1181747.72520882,1873026.81661499,4,2,38,41.8068169152662,-87.6089276396195,"(41.80681691526624, -87.60892763961954)"
