start_date,end_date,current_flag,dataset_row_id,id,license_id,account_number,site_number,legal_name,doing_business_as_name,address,city,state,zip_code,ward,precinct,police_district,license_code,license_description,license_number,application_type,application_created_date,application_requirements_complete,payment_date,conditional_approval,license_term_start_date,license_term_expiration_date,license_approved_for_issuance,date_issued,license_status,license_status_change_date,ssa,latitude,longitude,location
2014-08-14 02:21:12.178731,,True,240327,76975-20140616,2322411,47502,1,FUTONS-N-MORE INC,FUTONS-N-MORE INC,1370 E 53RD ST 1ST ,CHICAGO,IL,60615,4,1,2,1010,Limited Business License,76975,RENEW,,2014-04-15,2014-07-14,False,2014-06-16,2016-06-15,2014-07-14,2014-07-15,AAI,,61,41.7996134429161,-87.5924159167664,"(41.7996134429161, -87.59241591676637)"
2014-08-14 02:21:12.178731,,True,209307,1803592-20140616,2324107,314995,1,"HYDE PARK FOOD & LIQUOR, INC.",HYDE PARK FOOD & LIQUOR,126-128 E 51ST ST 1 ,CHICAGO,IL,60615,3,40,2,1006,Retail Food Establishment,1803592,RENEW,,2014-04-15,2014-06-05,False,2014-06-16,2016-06-15,2014-06-05,2014-06-06,AAI,,52,41.8021305429259,-87.6213850791201,"(41.802130542925866, -87.62138507912012)"
2014-08-23 13:44:15.487059,,True,459007,1544433-20140916,2343408,45006,3,"CHICAGO YOUTH PROGRAMS, INC.","CHICAGO YOUTH PROGRAMS, INC",5350 S PRAIRIE AVE  ,CHICAGO,IL,60615,3,60,2,1625,Raffles,1544433,RENEW,,2014-07-15,2014-08-21,False,2014-09-16,2015-09-15,2014-08-21,2014-08-22,AAI,,,41.7968992274337,-87.6194266249582,"(41.79689922743375, -87.61942662495818)"
2014-08-23 13:44:15.487059,,True,459035,2354276-20140822,2354276,343325,2,DELVIN SANDERS,D SANDERS CONSTRUCGTIONEERS,720 W 61ST ST 1 ,CHICAGO,IL,60621,16,25,7,4404,Regulated Business License,2354276,ISSUE,2014-08-22,2014-08-22,2014-08-22,False,2014-08-22,2016-10-15,2014-08-22,2014-08-22,AAI,,,41.7835196343412,-87.643340561263,"(41.783519634341154, -87.64334056126296)"
2014-08-23 13:44:15.487059,,True,459036,2354243-20140822,2354243,392970,1,"Chicago Jinxin Travel, inc.","Chicago Jinxin Travel, Inc.",532 W 43RD ST HOUSE ,CHICAGO,IL,60609,11,,,4404,Regulated Business License,2354243,ISSUE,,2014-08-22,2014-08-22,False,2014-08-22,2016-09-15,2014-08-22,2014-08-22,AAI,,,41.8163921578804,-87.6398079069987,"(41.816392157880394, -87.63980790699871)"
2014-08-14 02:21:12.178731,,True,1795,2137230-20140116,2297039,300141,2,SPELLS INVESTMENT INC,The Hair Experts,4653 S DR MARTIN LUTHER KING JR DR 1ST ,CHICAGO,IL,60653,3,,,1010,Limited Business License,2137230,RENEW,,2013-11-15,2014-01-13,False,2014-01-16,2016-01-15,2014-01-13,2014-01-13,AAI,,56,41.8096348307447,-87.6164485479703,"(41.809634830744656, -87.61644854797026)"
2014-08-14 02:21:12.178731,,True,2682,2094085-20131216,2292436,361987,1,HARLEM GAS & FOOD INC.,HARLEM GAS & FOOD INC.,801-819 W GARFIELD BLVD 1ST ,CHICAGO,IL,60621,20,48,7,1275,Filling Station,2094085,RENEW,,2013-10-15,2014-01-02,False,2013-12-16,2015-12-15,2014-01-02,2014-01-03,AAI,,,41.7938334743086,-87.6452072749473,"(41.79383347430859, -87.64520727494734)"
2014-08-14 02:21:12.178731,,True,3380,1739259-20140616,2322424,49135,3,"GRANDMA MAUD'S,INC.",GRANDMA MAUD'S INC,5020 S LAKE SHORE WEST DR  1417,CHICAGO,IL,60615,4,29,2,1010,Limited Business License,1739259,RENEW,,2014-04-15,2014-05-30,False,2014-06-16,2016-06-15,2014-05-30,2014-06-02,AAI,,,41.8037472578197,-87.5822089676157,"(41.803747257819744, -87.58220896761574)"
2014-08-14 02:21:12.178731,,True,114506,2348965-20140721,2348965,392173,1,MATY LAC DEVELOPMENT NO 2 INC.,MATY LAC DEVELOPMENT NO 2 INC.,5817 S UNION AVE 1ST ,CHICAGO,IL,60621,3,44,7,4404,Regulated Business License,2348965,ISSUE,2014-07-21,2014-07-21,2014-07-21,False,2014-07-21,2016-08-15,2014-07-21,2014-07-21,AAI,,,41.7883502295952,-87.6424197460722,"(41.788350229595245, -87.64241974607224)"
2014-08-14 02:21:12.178731,,True,114620,9299-20140116,2295296,4279,2,"BILL BABS, INC.",KELLY'S TAVERN,4403 S WALLACE ST 1ST ,CHICAGO,IL,60609,11,32,9,1470,Tavern,9299,RENEW,,2013-11-15,2014-01-03,False,2014-01-16,2016-01-15,2014-01-03,2014-01-06,AAI,,,41.8143261167251,-87.6406684378439,"(41.81432611672509, -87.64066843784394)"
2014-08-14 02:21:12.178731,,True,115871,9521-20140116,2295665,26136,1,FAMOUS LUBRICANTS INC,FAMOUS LUBRICANTS INC,124 W 47TH ST  ,CHICAGO,IL,60609,3,17,2,1010,Limited Business License,9521,RENEW,,2013-11-15,2014-01-29,False,2014-01-16,2016-01-15,2014-01-29,2014-01-30,AAI,,,41.8092944122064,-87.6292064983501,"(41.80929441220637, -87.62920649835011)"
2014-08-14 02:21:12.178731,,True,116605,18617-20140516,2315435,7551,18,"BOND DRUG COMPANY OF ILLINOIS, LLC",WALGREENS #2073,5401 S WENTWORTH AVE  ,CHICAGO,IL,60609,3,8,2,1006,Retail Food Establishment,18617,RENEW,,2014-03-15,2014-05-01,False,2014-05-16,2016-05-15,2014-05-01,2014-05-08,AAI,,,41.7962348752194,-87.6304049243866,"(41.796234875219376, -87.63040492438661)"
2014-08-14 02:21:12.178731,,True,117527,1992134-20140116,2296013,60635,4,HYE JUNG LEE,RAINBOW JEWELRY,4666 S HALSTED ST 1 ,CHICAGO,IL,60609,11,49,9,1683,Secondhand Dealer (Includes Valuable Objects),1992134,RENEW,,2013-11-15,2014-01-07,False,2014-01-16,2016-01-15,2014-01-07,2014-01-08,AAI,,13,41.8090003745618,-87.6456896408377,"(41.809000374561755, -87.64568964083773)"
2014-08-14 02:21:12.178731,,True,229790,25316-20140616,2321574,10288,1,FREEHLING POT & PAN CO,FREEHLING POT AND PAN CO,1365 E 53RD ST  1,CHICAGO,IL,60615,4,55,2,1006,Retail Food Establishment,25316,RENEW,,2014-04-15,2014-04-22,False,2014-06-16,2016-06-15,2014-04-22,2014-04-23,AAI,,61,41.7993920799446,-87.5925271750622,"(41.79939207994461, -87.59252717506219)"
