start_date,end_date,current_flag,dataset_row_id,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
54:18.6,,TRUE,5488,9724151,HX374360,8/4/14 0:01,074XX S CRANDON AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,333,3,7,43,6,1192791,1856132,2014,8/11/14 12:39,41.76019384,-87.56897601
54:18.6,,TRUE,5707,9741597,HX392091,8/14/14 16:00,016XX S KEDZIE AVE,820,THEFT,$500 AND UNDER,VACANT LOT/LAND,FALSE,FALSE,1022,10,24,29,6,1155334,1891771,2014,8/21/14 12:36,41.85882335,-87.70530239
54:18.6,,TRUE,633,9740846,HX391189,8/17/14 12:01,046XX N DOVER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1913,19,47,3,08B,1165814,1930890,2014,8/24/14 12:37,41.96595159,-87.66571618
54:18.6,,TRUE,686,9730259,HX379920,8/9/14 0:15,033XX W 65TH ST,820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,831,8,15,66,6,1155392,1861286,2014,8/16/14 12:37,41.77516735,-87.70590655
54:18.6,,TRUE,1321,9741095,HX391589,8/15/14 23:00,014XX W CORTEZ ST,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1213,12,27,24,6,1166273,1907140,2014,8/22/14 12:36,41.90077051,-87.66470955
54:18.6,,TRUE,2043,9733540,HX383638,8/11/14 19:08,022XX S BLUE ISLAND AVE,2022,NARCOTICS,POSS: COCAINE,STREET,TRUE,FALSE,1034,10,25,31,18,1165523,1889146,2014,8/18/14 12:38,41.8514095,-87.6679767
54:18.6,,TRUE,2893,9731602,HX381634,8/9/14 21:00,079XX S KIMBARK AVE,850,THEFT,ATTEMPT THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,411,4,8,45,6,1186301,1852443,2014,8/16/14 12:37,41.75022665,-87.59287798
54:18.6,,TRUE,3067,9739305,HX389107,8/15/14 18:17,063XX S SPRINGFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,823,8,13,65,04A,1151416,1862508,2014,8/22/14 12:36,41.77859939,-87.7204503
54:18.6,,TRUE,3471,9724947,HX374781,8/5/14 10:20,005XX W 60TH PL,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,711,7,20,68,08A,1173927,1864750,2014,8/12/14 12:35,41.78428178,-87.63785694
54:18.6,,TRUE,3765,9727177,HX376875,8/5/14 22:30,056XX S PERRY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,225,2,3,40,04A,1176619,1867706,2014,8/12/14 12:35,41.79233317,-87.62789815
54:18.6,,TRUE,3952,9737652,HX387483,8/14/14 12:00,013XX S WABASH AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,131,1,2,33,6,1177025,1894019,2014,8/21/14 12:36,41.86452902,-87.62561457
54:18.6,,TRUE,4263,9736382,HX386513,8/13/14 21:45,031XX W HARRISON ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,POLICE FACILITY/VEH PARKING LOT,FALSE,FALSE,1134,11,24,27,10,1155268,1897149,2014,8/20/14 12:42,41.87358248,-87.70540026
54:18.6,,TRUE,4640,9731985,HX382086,8/10/14 16:45,004XX S CENTRAL AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,TRUE,TRUE,1522,15,29,25,04A,1139174,1897204,2014,8/17/14 12:37,41.87404129,-87.76448889
54:18.6,,TRUE,4916,9725333,HX375062,8/5/14 13:35,058XX W CULLOM AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1624,16,38,15,26,1136837,1927959,2014,8/12/14 12:35,41.95847879,-87.77233077
54:18.6,,TRUE,6906,9736015,HX385923,8/13/14 11:15,050XX S KEDZIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,821,8,14,63,7,1155864,1870772,2014,8/20/14 12:42,41.80118884,-87.70392167
54:18.6,,TRUE,7054,9733484,HX383682,8/11/14 17:30,018XX N MAYFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2531,25,29,25,08B,1136759,1911632,2014,8/18/14 12:38,41.91367715,-87.77300985
